GCAM_region_ID,region,grouped_region
1,USA,USA
2,Africa_Eastern,Africa
3,Africa_Northern,Africa
4,Africa_Southern,Africa
5,Africa_Western,Africa
6,Australia_NZ,Australia_NZ
7,Brazil,LAC
8,Canada,Can.+Mex.
9,Central America and Caribbean,LAC
10,Central Asia,rest of Eurasia
11,China,China
12,EU-12,Europe
13,EU-15,Europe
14,Europe_Eastern,Europe
15,Europe_Non_EU,Europe
16,European Free Trade Association,Europe
17,India,India
18,Indonesia,rest of Asia
19,Japan,rest of Asia
20,Mexico,Can.+Mex.
21,Middle East,Middle East
22,Pakistan,rest of Asia
23,Russia,Russia
24,South Africa,Africa
25,South America_Northern,LAC
26,South America_Southern,LAC
27,South Asia,rest of Asia
28,South Korea,rest of Asia
29,Southeast Asia,rest of Asia
30,Taiwan,rest of Asia
31,Argentina,LAC
32,Colombia,LAC
